"Fahrzeugmodell";"Marke";"Markenindikator";"Modellfamilie";"Markteinführung weltweit";"Modelljahr";"Entwicklungstyp";"Modellstatus";"Fahrzeugsegment";"Karosserieart";"Karosserieart-Spezifikation";"Antriebsart";"Fahrzeugprojekt";"Beschränkung";"UUID";"Schwestermodell";"Schwestermodell";"Modellausführung";"Basisfahrzeug"
"Acura CDX (2017)";"Acura";"Premium";;"02.08.2016";"2017";"Neuentwicklung";"aktuell";"A0 (Kleinwagen)";"SUV / CUV";"CUV";"ICE";;"Keine";"87ce8502-188a-4f2b-a868-3fb44bf53d3b";"Honda XR-V (2015)";;;
"Acura CSX (2007)";"Acura";"Premium";"Acura CSX";"01.01.2006";"2007";"Neuentwicklung";"ausgelaufen";"A (Kompaktklasse)";"Sedan";"Sedan Standard";"ICE";;"Keine";"3e3241a4-6856-4254-a1cb-b3b5850f5067";"Honda Civic Sedan (2006)";;;
"Acura ILX (2013)";"Acura";"Premium";"Acura ILX";"01.07.2012";"2013";"Neuentwicklung";"ausgelaufen";"A (Kompaktklasse)";"Sedan";"Sedan Standard";"ICE";;"Keine";"ed60abb7-6af7-4afe-8de4-584af21ba016";;;;
"Acura ILX (2015)";"Acura";"Premium";"Acura ILX";"01.02.2015";"2015";"Facelift";"ausgelaufen";"A (Kompaktklasse)";"Sedan";"Sedan Standard";"ICE";;"Keine";"f570d780-e3c2-492d-87f1-7168eb064f16";;;;
"Acura ILX (2019)";"Acura";"Premium";"Acura ILX";"01.10.2018";"2019";"Facelift";"ausgelaufen";"A (Kompaktklasse)";"Sedan";"Sedan Standard";"ICE";;"Keine";"b78e4b99-6fd2-44f8-b198-ba15c476b7f7";;;;
"Acura Integra (2023)";"Acura";"Premium";;"01.07.2022";"2023";"Neuentwicklung";"aktuell";"B (Mittelklasse)";"Sedan";"Liftback Standard";"ICE";;"Keine";"7635c9e0-e3d6-4ad9-937e-529f07b4c2e4";;;;
"Acura MDX (2010)";"Acura";"Premium";"Acura MDX";"01.01.2010";"2010";"Facelift";"ausgelaufen";"C (obere Mittelklasse)";"SUV / CUV";"SUV Standard";"ICE";;"Keine";"8937cc40-7dd8-4191-aa0a-2a22eb1a33ce";;;;
"Acura MDX (2014)";"Acura";"Premium";"Acura MDX";"01.07.2013";"2014";"Neuentwicklung";"ausgelaufen";"C (obere Mittelklasse)";"SUV / CUV";"SUV Standard";"ICE";;"Keine";"a5b32485-43c1-418d-bfaf-e0458ef33a43";;;;
"Acura MDX (2017)";"Acura";"Premium";"Acura MDX";"01.07.2016";"2017";"Facelift";"ausgelaufen";"C (obere Mittelklasse)";"SUV / CUV";"SUV Standard";"ICE";;"Keine";"d45b4a49-5fc3-4e0d-8cfa-c53f21590460";;;"Acura MDX Sport Hybrid (2017)";
"Acura MDX (2021)";"Acura";"Premium";"Acura MDX";"29.01.2021";"2021";"Neuentwicklung";"aktuell";"C (obere Mittelklasse)";"SUV / CUV";"SUV Standard";"ICE";;"Keine";"a34f7224-fd89-482f-a323-13924f58322a";;;;
